rank_type,rank,net_balance_score_abs_net_over_total,net_closeness,abs_net_mwh,signed_net_mwh,peak_abs_net_kw,mean_abs_net_kw,zarin_pass_minmax,heat_mwh,cool_mwh,cool_heat_ratio,building_ids,building_names
worst_farthest_from_zero,8,0.975036,0.024964,194577.9,34824.6,158.2,22.2,0.012640,117192.1,82367.6,0.703,11 12 13 14 16,"res_2, res_3, res_4, res_5, res_7"
worst_farthest_from_zero,9,0.975003,0.024997,195053.8,35391.7,160.3,22.3,0.012657,117723.1,82331.4,0.699,10 11 13 14 15,"res_1, res_2, res_4, res_5, res_6"
worst_farthest_from_zero,10,0.974990,0.025010,193737.3,35315.9,157.8,22.1,0.012663,117011.4,81695.5,0.698,10 11 13 14 17,"res_1, res_2, res_4, res_5, res_8"
worst_farthest_from_zero,11,0.974984,0.025016,194421.5,35588.4,157.5,22.2,0.012666,117499.1,81910.7,0.697,10 11 12 14 17,"res_1, res_2, res_3, res_5, res_8"
worst_farthest_from_zero,12,0.974977,0.025023,193703.1,34366.8,159.0,22.1,0.012670,116520.6,82153.9,0.705,10 12 13 14 17,"res_1, res_3, res_4, res_5, res_8"
worst_farthest_from_zero,13,0.974961,0.025039,195730.8,35664.3,160.0,22.3,0.012678,118210.9,82546.6,0.698,10 11 12 14 15,"res_1, res_2, res_3, res_5, res_6"
worst_farthest_from_zero,14,0.974944,0.025056,195010.3,34442.6,161.2,22.3,0.012687,117232.4,82789.7,0.706,10 12 13 14 15,"res_1, res_3, res_4, res_5, res_6"
worst_farthest_from_zero,15,0.974932,0.025068,193322.7,33649.3,159.0,22.1,0.012693,115971.4,82322.1,0.710,10 11 12 13 18,"res_1, res_2, res_3, res_4, res_9"
worst_farthest_from_zero,16,0.974918,0.025082,194378.6,34867.4,158.1,22.2,0.012700,117123.4,82256.0,0.702,10 11 13 14 16,"res_1, res_2, res_4, res_5, res_7"
worst_farthest_from_zero,17,0.974906,0.025094,195061.4,35140.0,157.8,22.3,0.012707,117611.2,82471.2,0.701,10 11 12 14 16,"res_1, res_2, res_3, res_5, res_7"
worst_farthest_from_zero,18,0.974901,0.025099,194343.6,33918.3,159.6,22.2,0.012709,116632.7,82714.4,0.709,10 12 13 14 16,"res_1, res_3, res_4, res_5, res_7"
worst_farthest_from_zero,19,0.974870,0.025130,193047.8,35127.1,155.9,22.0,0.012725,116575.6,81448.5,0.699,11 12 14 17 18,"res_2, res_3, res_5, res_8, res_9"
worst_farthest_from_zero,20,0.974867,0.025133,192330.3,33905.5,157.3,22.0,0.012726,115597.1,81691.6,0.707,12 13 14 17 18,"res_3, res_4, res_5, res_8, res_9"
worst_farthest_from_zero,21,0.974863,0.025137,192775.2,33827.5,157.3,22.0,0.012728,115786.7,81959.2,0.708,10 11 12 13 17,"res_1, res_2, res_3, res_4, res_8"
worst_farthest_from_zero,22,0.974858,0.025142,192360.1,34854.6,156.2,22.0,0.012731,116087.9,81233.3,0.700,11 13 14 17 18,"res_2, res_4, res_5, res_8, res_9"
worst_farthest_from_zero,23,0.974841,0.025159,194355.7,35203.0,158.3,22.2,0.012740,117287.3,82084.4,0.700,11 12 14 15 18,"res_2, res_3, res_5, res_6, res_9"
worst_farthest_from_zero,24,0.974839,0.025161,194084.1,33903.4,159.8,22.2,0.012741,116498.4,82595.1,0.709,10 11 12 13 15,"res_1, res_2, res_3, res_4, res_6"
worst_farthest_from_zero,25,0.974838,0.025162,193669.8,34930.4,158.7,22.1,0.012741,116799.6,81869.2,0.701,11 13 14 15 18,"res_2, res_4, res_5, res_6, res_9"
