rank,zp_minmax,sim_mwh,dominant_mwh,heat_mwh,cool_mwh,i1,i2,i3,i4,i5
48,0.012825446,2513.820,196002.529,116618.937,81897.412,9,10,13,15,17
49,0.012828806,2495.678,194537.007,114975.221,82057.464,10,11,12,15,17
50,0.012837839,2517.834,196125.985,117033.932,81609.887,9,10,13,14,16
51,0.012839802,2499.405,194660.749,115390.215,81769.940,10,11,12,14,16
52,0.012841319,2491.138,193993.936,114790.522,81694.552,10,11,12,15,16
53,0.012841341,2507.572,195273.397,115640.425,82140.544,9,12,13,15,17
54,0.012841900,2516.593,195967.359,116128.174,82355.778,9,11,13,15,17
55,0.012850738,2488.658,193658.781,114303.698,81843.741,9,11,12,16,17
56,0.012852138,2511.271,195397.167,116055.419,81853.019,9,12,13,14,16
57,0.012852171,2520.198,196091.224,116543.168,82068.253,9,11,13,14,16
58,0.012854706,2489.828,193690.008,114794.461,81385.375,9,10,12,16,17
59,0.012856584,2499.111,194383.709,115282.210,81600.609,9,10,11,16,17
60,0.012858991,2504.023,194729.335,115455.727,81777.631,9,12,13,15,16
61,0.012859281,2513.415,195455.324,116434.239,81534.499,9,10,13,15,16
62,0.012864743,2514.057,195422.284,115943.476,81992.866,9,11,13,15,16
63,0.012874729,2533.526,196782.841,117145.978,82170.389,9,10,13,14,15
64,0.012875617,2519.894,195710.553,115993.949,82236.499,9,10,11,14,17
65,0.012877762,2510.959,194984.108,115015.436,82479.631,9,11,12,14,17
66,0.012879197,2511.647,195015.817,115506.200,82021.265,9,10,12,14,17
67,0.012881577,2525.504,196055.482,116167.465,82413.521,9,12,13,14,15
68,0.012884671,2516.584,195316.118,115502.261,82330.441,10,11,12,14,15
69,0.012893855,2505.876,194346.508,114906.507,81945.877,9,10,12,15,17
70,0.012894873,2505.659,194314.328,114415.744,82404.243,9,11,12,15,17
71,0.012898051,2537.644,196746.325,116655.214,82628.755,9,11,13,14,15
72,0.012898175,2515.656,195039.711,115394.256,82161.111,9,10,11,15,17
73,0.012900234,2511.854,194713.818,115619.643,81606.029,11,13,14,16,17
74,0.012904207,2513.030,194745.039,116110.406,81147.663,10,13,14,16,17
75,0.012911825,2510.949,194468.905,115321.501,81658.352,9,10,12,14,16
76,0.012913759,2520.282,195162.555,115809.250,81873.586,9,10,11,14,16
77,0.012913969,2510.947,194436.509,114830.738,82116.718,9,11,12,14,16
78,0.012914541,2502.450,193769.926,114231.045,82041.331,9,11,12,15,16
79,0.012915281,2503.004,193801.769,114721.809,81582.964,9,10,12,15,16
80,0.012916105,2505.941,194016.748,115131.894,81390.795,12,13,14,16,17
81,0.012920148,2512.902,194494.854,115209.558,81798.199,9,10,11,15,16
82,0.012921912,2507.822,194075.166,115510.714,81072.275,10,13,15,16,17
83,0.012926052,2508.202,194042.389,115019.950,81530.641,11,13,15,16,17
84,0.012931362,2500.245,193347.363,114532.201,81315.407,12,13,15,16,17
85,0.012945819,2526.070,195126.331,115433.547,82218.854,9,10,12,14,15
86,0.012949342,2530.305,195400.311,116222.452,81708.164,10,13,14,15,17
87,0.012952587,2526.960,195093.044,114942.784,82677.220,9,11,12,14,15
88,0.012955398,2501.176,193060.530,113907.212,81654.494,11,12,14,16,17
89,0.012955993,2537.021,195818.363,115921.296,82434.088,9,10,11,14,15
90,0.012958439,2522.653,194672.583,115243.940,81951.297,12,13,14,15,17
91,0.012959715,2511.407,193785.680,114885.725,81411.362,10,11,14,16,17
92,0.012960376,2532.020,195366.200,115731.689,82166.531,11,13,14,15,17
93,0.012970006,2504.375,193089.729,114397.976,81196.128,10,12,14,16,17
94,0.012970249,2495.363,192391.264,113307.520,81579.106,11,12,15,16,17
95,0.012977690,2506.197,193115.809,114286.032,81335.974,10,11,15,16,17
96,0.012978652,2497.374,192421.650,113798.283,81120.740,10,12,15,16,17
97,0.012978853,2528.982,194854.024,116037.754,81345.252,10,13,14,15,16
98,0.012982883,2529.342,194821.267,115546.990,81803.618,11,13,14,15,16
99,0.012983868,2525.619,194519.752,115550.929,81494.442,9,13,14,16,17
100,0.012983992,2520.544,194127.081,115059.241,81588.384,12,13,14,15,16
101,0.012997850,2519.642,193850.649,114951.237,81419.054,9,13,15,16,17
102,0.013011911,2520.585,193713.669,114019.258,82214.996,11,12,14,15,17
103,0.013015472,2540.328,195177.590,115662.975,82054.943,9,13,14,15,17
