Feature Id,Feature Name,Mapper Class
1,mall_1,URBANopt::Scenario::BaselineMapper
2,hotel_1,URBANopt::Scenario::BaselineMapper
3,office_1,URBANopt::Scenario::BaselineMapper
4,office_2,URBANopt::Scenario::BaselineMapper
5,office_3,URBANopt::Scenario::BaselineMapper
6,office_4,URBANopt::Scenario::BaselineMapper
7,office_5,URBANopt::Scenario::BaselineMapper
8,office_6,URBANopt::Scenario::BaselineMapper
9,office_7,URBANopt::Scenario::BaselineMapper
10,res_1,URBANopt::Scenario::BaselineMapper
11,res_2,URBANopt::Scenario::BaselineMapper
12,res_3,URBANopt::Scenario::BaselineMapper
13,res_4,URBANopt::Scenario::BaselineMapper
14,res_5,URBANopt::Scenario::BaselineMapper
15,res_6,URBANopt::Scenario::BaselineMapper
16,res_7,URBANopt::Scenario::BaselineMapper
17,res_8,URBANopt::Scenario::BaselineMapper
18,res_9,URBANopt::Scenario::BaselineMapper
19,restaurant_1,URBANopt::Scenario::BaselineMapper
20,restaurant_2,URBANopt::Scenario::BaselineMapper
21,restaurant_3,URBANopt::Scenario::BaselineMapper
22,restaurant_4,URBANopt::Scenario::BaselineMapper
23,school_1,URBANopt::Scenario::BaselineMapper
