Feature Id,Feature Name,Mapper Class
1,mall_1,URBANopt::Scenario::ClassProjectMapper
2,hotel_1,URBANopt::Scenario::ClassProjectMapper
3,office_1,URBANopt::Scenario::ClassProjectMapper
4,office_2,URBANopt::Scenario::ClassProjectMapper
5,office_3,URBANopt::Scenario::ClassProjectMapper
6,office_4,URBANopt::Scenario::ClassProjectMapper
7,office_5,URBANopt::Scenario::ClassProjectMapper
8,office_6,URBANopt::Scenario::ClassProjectMapper
9,office_7,URBANopt::Scenario::ClassProjectMapper
10,res_1,URBANopt::Scenario::ClassProjectMapper
11,res_2,URBANopt::Scenario::ClassProjectMapper
12,res_3,URBANopt::Scenario::ClassProjectMapper
13,res_4,URBANopt::Scenario::ClassProjectMapper
14,res_5,URBANopt::Scenario::ClassProjectMapper
15,res_6,URBANopt::Scenario::ClassProjectMapper
16,res_7,URBANopt::Scenario::ClassProjectMapper
17,res_8,URBANopt::Scenario::ClassProjectMapper
18,res_9,URBANopt::Scenario::ClassProjectMapper
19,restaurant_1,URBANopt::Scenario::ClassProjectMapper
20,restaurant_2,URBANopt::Scenario::ClassProjectMapper
21,restaurant_3,URBANopt::Scenario::ClassProjectMapper
22,restaurant_4,URBANopt::Scenario::ClassProjectMapper
23,school_1,URBANopt::Scenario::ClassProjectMapper
